model,llr,l1
Real drift,0.5591909722222221,0.5677760416666666
Independent Gaussian,0.997625,0.9074444444444444
LOO conditional mean,0.8254166666666666,0.5899965277777778
NN (k=1),0.8129895833333333,0.6286163194444444
