config,alpha,auc_l1,auc_llr
D3 case,18.420699693267146,0.5263386960600379,0.5071647045028141
D3 case,22.229964825261934,0.5239258364602875,0.5064324030644158
D3 case,26.826957952797247,0.5190059646654159,0.5047034787367096
D3 case,32.374575428176435,0.5146753986866789,0.5042035959974994
D3 case,39.06939937054613,0.5128158849280804,0.5039236866791746
D3 case,47.1486636345739,0.5101669402751725,0.5030867651657281
D3 case,56.89866029018293,0.5078173624140088,0.5001459740462783
D3 case,68.66488450042998,0.5089732879924955,0.5028869215134465
D3 case,82.86427728546842,0.5045580206378981,0.49967656347717304
D3 case,100.0,0.5049901500938082,0.5003417213883674
D3 random,0.01,0.625889876485304,0.7994844121325836
D3 random,0.012067926406393288,0.6258232879924964,0.7995028064415257
D3 random,0.014563484775012436,0.6257866479049413,0.7995232489055661
D3 random,0.017575106248547922,0.6256787054409005,0.7995258911819892
D3 random,0.021209508879201904,0.6256268370856786,0.7996005863039392
D3 random,0.025595479226995357,0.6255296278924323,0.7995969355847419
D3 random,0.030888435964774818,0.6253242260788006,0.7996726704190122
D3 random,0.0372759372031494,0.625192940900562,0.7997267745465912
D3 random,0.04498432668969444,0.6251303549093193,0.7997107567229522
D3 random,0.054286754393238594,0.6249228736710452,0.799722670419012
D3 random,0.0655128556859551,0.6248948796122568,0.7997205284552874
D3 random,0.07906043210907697,0.6248643683552226,0.7994682145090679
D3 random,0.09540954763499938,0.6246588101938709,0.7991016338336471
D3 random,0.1151395399326447,0.6244962085678555,0.7983859990619133
D3 random,0.13894954943731375,0.6242619684177612,0.7970905253283312
D3 random,0.16768329368110074,0.6233216463414638,0.7944163070669162
D3 random,0.20235896477251566,0.6225117808005003,0.7897178939962471
D3 random,0.2442053094548651,0.6217343339587236,0.7823626876172594
D3 random,0.29470517025518095,0.6205463883677307,0.77062861163227
D3 random,0.35564803062231287,0.61857503908693,0.7546531035021891
D3 random,0.42919342601287763,0.6163283927454649,0.7327131175734845
D3 random,0.517947467923121,0.6148585678549094,0.7079870153220766
D3 random,0.6250551925273969,0.6117542292057541,0.6806964665415877
D3 random,0.7543120063354615,0.6085748358348966,0.6532622263914937
D3 random,0.9102981779915218,0.602664892120075,0.6256602329580988
D3 random,1.0985411419875584,0.598924601313322,0.6015447154471549
D3 random,1.325711365590108,0.5936464743589741,0.5813154784240139
D3 random,1.5998587196060574,0.5873459505941213,0.5628233739837388
D3 random,1.9306977288832496,0.5798239681050651,0.5484720137585994
D3 random,2.329951810515372,0.571416103814883,0.539680651969981
D3 random,2.811768697974228,0.563750977173233,0.5284313633520945
D3 random,3.3932217718953264,0.5563960444027523,0.5221236554096309
D3 random,4.094915062380423,0.5484780253283296,0.5164627501563473
D3 random,4.941713361323833,0.5406015634771728,0.513152962789243
D3 random,5.963623316594643,0.5349304330831771,0.5090178549093187
D3 random,7.196856730011514,0.5311186366479049,0.5079110068792995
D3 random,8.68511373751352,0.5266289634146337,0.5063403142589107
D3 random,10.481131341546853,0.5211093574108804,0.5054152517198254
D3 random,12.648552168552959,0.5160021654158853,0.5057390869293307
D3 random,15.264179671752318,0.5127067698561596,0.5029468105065669
D3 random,18.420699693267146,0.5120138445903691,0.5040073952470303
D3 random,22.229964825261934,0.5104152829893673,0.5024405878674165
D3 random,26.826957952797247,0.5087575750469044,0.5022249374609125
D3 random,32.374575428176435,0.5066359052532827,0.5008963492808007
D3 random,39.06939937054613,0.5051922607879923,0.5000732645403387
D3 random,47.1486636345739,0.5052980769230775,0.5024048545966231
D3 random,56.89866029018293,0.50360185272045,0.5006296435272047
D3 random,68.66488450042998,0.5047563242651667,0.5005719355847412
D3 random,82.86427728546842,0.5032404706066294,0.500541181988743
D3 random,100.0,0.5029412367104431,0.5009447779862417
D17 case,0.01,0.9155890913508249,0.9483495140913467
D17 case,0.012067926406393288,0.9155829446064145,0.9483573858114654
D17 case,0.014563484775012436,0.9155815597667625,0.948366302235176
D17 case,0.017575106248547922,0.9155750485908635,0.9483628036929052
D17 case,0.021209508879201904,0.9155935131195329,0.9483613216715238
D17 case,0.025595479226995357,0.9155931486880453,0.9483652332361493
