condition,t1_LLR,t1_L1,t4_LLR,t4_L1
self_self,0.5737222222222221,0.5850138888888889,0.5461805555555556,0.5620763888888889
self_nn,0.807875,0.6429444444444444,0.8649861111111111,0.6550694444444445
nn_self,0.5684444444444444,0.5849236111111111,0.5449027777777778,0.5687083333333334
nn_nn,0.80425,0.6451111111111111,0.865875,0.6573541666666668
full_nn,0.812375,0.6455069444444445,0.8715416666666668,0.6583055555555556
perm,0.8794444444444445,0.5462013888888889,0.8805694444444443,0.5479652777777778
