timepoint,real_L1,real_LLR,corr_preserving_L1,corr_preserving_LLR
0,0.8934652777777763,0.9966875000000031,0.8934652777777763,0.9966875000000031
1,0.5740434027777771,0.5613993055555558,0.5407413194444454,0.8747638888888909
2,0.5754722222222214,0.5561631944444437,0.5469947916666663,0.8652604166666663
3,0.5865069444444453,0.5897743055555544,0.568888888888889,0.9018125000000001
4,0.5607899305555556,0.5407673611111109,0.5462482638888887,0.8789965277777766
5,0.5839913194444444,0.5644930555555558,0.549743055555556,0.8873229166666696
6,0.5430527544351065,0.5239880952380943,,
7,0.5354948062558366,0.5229313375350148,,
