k,pctl,euclidean_llr,euclidean_l1,cosine_llr,cosine_l1,correlation_llr,correlation_l1
0,0.0,0.5591909722222221,0.5677760416666666,0.5591909722222221,0.5677760416666666,0.5591909722222221,0.5677760416666666
1,17.22384494306982,0.8129895833333333,0.6286163194444444,0.8137152777777779,0.6282100694444445,0.8072465277777778,0.6250451388888889
2,21.046779684095863,0.8089131944444444,0.6100694444444444,0.8086805555555555,0.6074878472222222,0.8102638888888889,0.609685763888889
5,31.866795699761386,0.8363125,0.5872309027777778,0.8381319444444444,0.5910243055555556,0.8363020833333333,0.5905225694444444
10,43.070298478187574,0.8746111111111111,0.5576666666666668,0.8733645833333333,0.5595659722222222,0.8728784722222221,0.5544496527777778
20,51.039869037892935,0.8990590277777778,0.5408836805555557,0.9006388888888889,0.541296875,0.8970451388888888,0.5341857638888889
50,50.970252279152405,0.8980208333333334,0.5374513888888889,0.9001875,0.5412222222222222,0.8983576388888889,0.53496875
