****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350695 ******* 

Variable    Labels
ER66123    A45B TOTAL OTR UTILITIES                
ER66124    A45B OTR UTILITIES PER                  
ER66125    A40 TYPE HEATING 1ST MENTION            
ER66126    A40 TYPE HEATING 2ND MENTION            
ER66127    A40 TYPE HEATING 3RD MENTION            
ER66128    A46 RECD GOVT HTG SUBSDY                
ER66129    A46A AMT GOVT HTG SUBSDY                
ER66130    A46A AMT GOVT HTG SUBSDY PER            
ER66131    A46A PERCENT GOVT HTG SUBSDY            
ER66132    A57A WTR COMPUTER DEVICE IN HOME-RP     
ER66133    A57B HOW OFTEN NET VIA CMPTR PAST MTH-RP
ER66134    A57C WTR NET VIA COMPUTER PAST YEAR-RP  
ER66135    A57D WTR NET VIA CMPTR OUTSIDE HOME-RP  
ER66136    A57E WTR SMART PHONE-RP                 
ER66137    A57F HOW OFTEN TEXTED PAST MTH-RP       
ER66138    A57G NET VIA SMART PHONE PAST MTH-RP    
ER66139    A57H NET VIA SMART PHONE PAST YEAR-RP   
ER66140    A57J WTR HAVE CELL PHONE-RP             
ER66141    A57K HOW OFTEN TEXTED PAST MTH-RP       
ER66142    A57L HOW OFTEN EMAIL PAST MTH-RP        
ER66143    A57M WTR USED EMAIL PAST YEAR-RP        
ER66144    A57A WTR COMPUTER DEVICE IN HOME-SP     
ER66145    A57B HOW OFTEN NET VIA CMPTR PAST MTH-SP
ER66146    A57C WTR NET VIA COMPUTER PAST YEAR-SP  
ER66147    A57D WTR NET VIA CMPTR OUTSIDE HOME-SP  
ER66148    A57E WTR SMART PHONE-SP                 
ER66149    A57F HOW OFTEN TEXTED PAST MTH-SP       
ER66150    A57G NET VIA SMART PHONE PAST MTH-SP    
ER66151    A57H NET VIA SMART PHONE PAST YEAR-SP   
ER66152    A57J WTR HAVE CELL PHONE-SP             
ER66153    A57K HOW OFTEN TEXTED PAST MTH-SP       
ER66154    A57L HOW OFTEN EMAIL PAST MTH-SP        
ER66155    A57M WTR USED EMAIL PAST YEAR-SP        
ER66156    A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR 
ER66157    A49 MONTH MOVED                         
ER66158    A49 YEAR MOVED                          
ER66159    A50 WHY MOVED 1ST MENTION               
ER66160    A50 WHY MOVED 2ND MENTION               
ER66161    A50 WHY MOVED 3RD MENTION               
ER66162    A51 WTR MIGHT MOVE                      
ER66163    A52 LIKELIHOOD OF MOVING                
ER66164    BC1 EMPLOYMENT STATUS-1ST MENTION       
ER66165    BC1 EMPLOYMENT STATUS-2ND MENTION       
ER66166    BC1 EMPLOYMENT STATUS-3RD MENTION       
ER66167    BC2 YEAR RETIRED                        
ER66168    BC3 WTR WORK FOR MONEY                  
ER66169    BC3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR
ER66170    BC14A_B WEEKS EMPLOYED LAST YEAR        
ER66171    ACCURACY OF RP WKS EMPLOYED LAST YEAR   
ER66172    BC14BB AVERAGE HOURS WORKED LAST YEAR   
