****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350694 ******* 

Variable    Labels
ER72058    A25A4 CURR INTEREST RATE WHOLE PRCNT #1 
ER72059    A25A4 CURR INT RATE DECIMAL FRACTION #1 
ER72060    A26 YEAR OBTAINED LOAN #1               
ER72061    A27 YRS TO PAY MOR # 1                  
ER72062    A27A WTR BEHIND ON MTGE # 1             
ER72063    A27B MONTHS BEHIND ON MTGE # 1          
ER72064    A27C WTR FORECLOSURE ON MTGE # 1        
ER72065    A27D MONTH FORECLOSURE ON MTGE # 1      
ER72066    A27E YEAR FORECLOSURE ON MTGE # 1       
ER72067    A27F WTR RESTRUCTURED MTGE # 1          
ER72068    A27G LIKELY TO FALL BEHIND ON MTGE #1   
ER72069    A28 2ND MORTGAGE                        
ER72070    A23A TYPE MORTGAGE MOR 2                
ER72071    A23B WTR ORIGINAL LOAN/REFINANCED #2    
ER72072    A24 REM PRINCIPAL MOR 2                 
ER72073    ACCURACY OF REMAINING MORTGAGE PRIN #2  
ER72074    A25 MNTHLY PMTS MOR 2                   
ER72075    ACCURACY OF MONTHLY PYMNTS ON MTGE #2   
ER72076    A25A1 MTG INCL PROP TAXES #2            
ER72077    A25A2 MTG INCL INS PREM #2              
ER72078    A25A3 WTR CURR INT RATE FIXED/VARBLE #2 
ER72079    A25A4 CURR INTEREST RATE WHOLE PRCNT #2 
ER72080    A25A4 CURR INT RATE DECIMAL FRACTION #2 
ER72081    A26 YEAR OBTAINED LOAN #2               
ER72082    A27 YRS TO PAY MOR # 2                  
ER72083    A27A WTR BEHIND ON MTGE # 2             
ER72084    A27B MONTHS BEHIND ON MTGE # 2          
ER72085    A27C WTR FORECLOSURE ON MTGE # 2        
ER72086    A27D MONTH FORECLOSURE ON MTGE # 2      
ER72087    A27E YEAR FORECLOSURE ON MTGE # 2       
ER72088    A27F WTR RESTRUCTURED MTGE # 2          
ER72089    A27G LIKELY TO FALL BEHIND ON MTGE # 2  
ER72090    A31 DOLLARS RENT                        
ER72091    A31 DOLLARS PER WHAT                    
ER72092    ACCURACY OF RENT                        
ER72093    A31A WTR WATER/SEWER INCLUDED IN RENT   
ER72094    A31B FURNISHED APT/HOUSE                
ER72095    A31C RENT INCL HEAT                     
ER72096    A32 IN PUBLIC OWND PROJ?                
ER72097    A33 GOVT PAY PART RENT?                 
ER72098    A35 DOLLARS RENT IF RENT                
ER72099    A35 DOLLARS PER WHAT                    
ER72100    ACCURACY OF VALUE IF RENTED             
ER72101    A36 IN PUBLIC OWND PROJ?                
ER72102    A37 GOVT PAY ALL RENT?                  
ER72103    A37A WTR FORCLOSURE BEG OTR HOME # 1    
ER72104    A37B MONTH FORCLOSURE OTR HOME # 1      
ER72105    A37C YEAR FORCLOSURE OTR HOME # 1       
ER72106    A37D WTR FORECLOSURED OTR HOME # 1      
ER72107    A37E WTR LOST OTR HOME FORECLOSURE # 1  
ER72108    A37F WTR MAIN RESIDENCE OTR HOME # 1    
ER72109    A37G AMT STILL OWED OTR HOME # 1        
ER72110    A42 WTR GAS/ELEC COSTS ON ONE BILL      
ER72111    A42A FUEL EXPENSE                       
ER72112    A42A FUEL EXPENSE PER                   
ER72113    A42B ELECTRICITY EXPENSE                
ER72114    A42B ELECTRICITY PER                    
ER72115    A42C COMBINED GAS/ELECT EXPENSE         
ER72116    A42C COMBINED GAS/ELECT EXPENSE PER     
ER72117    A43 WATER/SEWER EXPENSE                 
ER72118    A43 WATER/SEWER EXPENSE PER             
ER72119    A44 TELEPHONE EXPENSE                   
ER72120    A44 TELEPHONE EXPENSE PER               
ER72121    A45 WTR OTR UTILITY EXP                 
ER72122    A45A GARBAGE EXPENSE                    
ER72123    A45B TOTAL OTR UTILITIES                
ER72124    A45B OTR UTILITIES PER                  
ER72125    A40 TYPE HEATING 1ST MENTION            
ER72126    A40 TYPE HEATING 2ND MENTION            
ER72127    A40 TYPE HEATING 3RD MENTION            
ER72128    A46 RECD GOVT HTG SUBSDY                
ER72129    A46A AMT GOVT HTG SUBSDY                
ER72130    A46A AMT GOVT HTG SUBSDY PER            
ER72131    A46A PERCENT GOVT HTG SUBSDY            
ER72132    A57A WTR COMPUTER DEVICE IN HOME-RP     
ER72133    A57B HOW OFTEN NET VIA CMPTR PAST MTH-RP
ER72134    A57C WTR NET VIA COMPUTER PAST YEAR-RP  
ER72135    A57D WTR NET VIA CMPTR OUTSIDE HOME-RP  
ER72136    A57E WTR SMART PHONE-RP                 
ER72137    A57F HOW OFTEN TEXTED PAST MTH-RP       
ER72138    A57G NET VIA SMART PHONE PAST MTH-RP    
ER72139    A57H NET VIA SMART PHONE PAST YEAR-RP   
ER72140    A57J WTR HAVE CELL PHONE-RP             
ER72141    A57K HOW OFTEN TEXTED PAST MTH-RP       
ER72142    A57L HOW OFTEN EMAIL PAST MTH-RP        
ER72143    A57M WTR USED EMAIL PAST YEAR-RP        
ER72144    A57A WTR COMPUTER DEVICE IN HOME-SP     
ER72145    A57B HOW OFTEN NET VIA CMPTR PAST MTH-SP
ER72146    A57C WTR NET VIA COMPUTER PAST YEAR-SP  
ER72147    A57D WTR NET VIA CMPTR OUTSIDE HOME-SP  
ER72148    A57E WTR SMART PHONE-SP                 
ER72149    A57F HOW OFTEN TEXTED PAST MTH-SP       
ER72150    A57G NET VIA SMART PHONE PAST MTH-SP    
ER72151    A57H NET VIA SMART PHONE PAST YEAR-SP   
ER72152    A57J WTR HAVE CELL PHONE-SP             
ER72153    A57K HOW OFTEN TEXTED PAST MTH-SP       
ER72154    A57L HOW OFTEN EMAIL PAST MTH-SP        
ER72155    A57M WTR USED EMAIL PAST YEAR-SP        
ER72156    A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR 
ER72157    A49 MONTH MOVED                         
ER72158    A49 YEAR MOVED                          
ER72159    A50 WHY MOVED 1ST MENTION               
ER72160    A50 WHY MOVED 2ND MENTION               
ER72161    A50 WHY MOVED 3RD MENTION               
ER72162    A51 WTR MIGHT MOVE                      
ER72163    A52 LIKELIHOOD OF MOVING                
ER72164    BC1 EMPLOYMENT STATUS-1ST MENTION       
ER72165    BC1 EMPLOYMENT STATUS-2ND MENTION       
ER72166    BC1 EMPLOYMENT STATUS-3RD MENTION       
ER72167    BC2 YEAR RETIRED                        
ER72168    BC3 WTR WORK FOR MONEY                  
ER72169    BC3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR
ER72170    BC14A_B WEEKS EMPLOYED LAST YEAR        
ER72171    ACCURACY OF RP WKS EMPLOYED LAST YEAR   
ER72172    BC14BB AVERAGE HOURS WORKED LAST YEAR   
ER72173    ACCURACY OF RP HOURS WORKED LAST YEAR   
ER72174    BC14B3 WTR ADDITIONAL OT HOURS LAST YEAR
ER72175    BC14B4 AVERAGE OVERTIME HOURS LAST YEAR 
ER72176    BC14B4 AVERAGE OVERTIME HOURS PER WHAT  
ER72177    ACCURACY OF RP OT HOURS WRKD LAST YR    
ER72178    BC16-17 MAIN JOB INDICATOR              
ER72179    BC6 BEGINNING MONTH--JOB 1              
ER72180    BC6 BEGINNING YEAR--JOB 1               
ER72181    BC6 ENDING MONTH--JOB 1                 
ER72182    BC6 ENDING YEAR--JOB 1                  
ER72183    BC6 WTR EMPLOYED--JOB 1 JAN             
ER72184    BC6 WTR EMPLOYED--JOB 1 FEB             
ER72185    BC6 WTR EMPLOYED--JOB 1 MAR             
ER72186    BC6 WTR EMPLOYED--JOB 1 APR             
ER72187    BC6 WTR EMPLOYED--JOB 1 MAY             
ER72188    BC6 WTR EMPLOYED--JOB 1 JUN             
ER72189    BC6 WTR EMPLOYED--JOB 1 JUL             
ER72190    BC6 WTR EMPLOYED--JOB 1 AUG             
ER72191    BC6 WTR EMPLOYED--JOB 1 SEP             
ER72192    BC6 WTR EMPLOYED--JOB 1 OCT             
ER72193    BC6 WTR EMPLOYED--JOB 1 NOV             
ER72194    BC6 WTR EMPLOYED--JOB 1 DEC             
ER72195    BC20 MAIN OCC FOR JOB 1: 2010 CODE (RP) 
ER72196    BC21 MAIN IND FOR JOB 1: 2012 CODE (RP) 
ER72197    BC21B AVERAGE COMMUTE TIME (RP)         
ER72198    BC22 WORK SELF/OTR?--JOB 1              
ER72199    BC23 CORP/UNCORP BUS--JOB 1             
ER72200    BC24 WORK FOR GOVT?--JOB 1              
ER72201    BC25A NUMBER EMPLOYED AT WORK LOCATION  
ER72202    BC25B WTR 200 OR MORE                   
ER72203    BC25C WTR 100 OR MORE                   
ER72204    BC25D WTR 50 OR MORE                    
ER72205    BC25E WTR 500 OR MORE                   
ER72206    BC25F WTR 1000 OR MORE                  
ER72207    BC26 JOB NOW UNION? (RP-E)              
ER72208    BC27 BELONG UNION? (RP-E)               
ER72209    BC28A WTR JOB REQUIRES COMPUTER USE     
ER72210    BC29 SLRY/HRLY/OTR (RP-E)               
ER72211    BC30 SALARY AMOUNT                      
ER72212    BC30 SALARY PER WHAT                    
ER72213    BC31 WTR SAL PD OT (RP-E)               
ER72214    BC32 HOW PAID FOR OT                    
ER72215    BC32A EXACT OT PAY IF SALARIED          
ER72216    BC32A EXACT OT PAY PER                  
ER72217    BC33 HOURLY REGULAR RATE                
ER72218    BC34 OT DIFFERENTIAL 1ST                
ER72219    BC34 OT DIFFERENTIAL 2ND                
ER72220    BC34 OT DIFFERENTIAL 3RD                
ER72221    BC34A EXACT OT PAY IF HOURLY            
ER72222    BC34A EXACT OT PAY PER                  
ER72223    BC36 AVG TIPS/COMM                      
ER72224    BC36 TIPS/COMM PER WHAT                 
ER72225    BC37 AVG TIPS/COMM                      
ER72226    BC37 TIPS/COMM PER WHAT                 
ER72227    BC38 HOW PAID-OTR (RP-E)                
ER72228    BC39 OT RATE                            
ER72229    BC39ACKPT WTR ONE OR MORE CURRENT JOBS  
ER72230    BC39A HOURS WORKED PER WEEK ON CMJ      
ER72231    BC41 YRS PRES EMP (RP-E)                
ER72232    BC41 MOS PRES EMP (RP-E)                
ER72233    BC41 WKS PRES EMP (RP-E)                
ER72234    BC43 HOURS/WEEK WORKED--JOB 1           
ER72235    ACCURACY OF HR/WK WORKED--RP JOB 1      
ER72236    BC44 WTR WORKED OT--JOB 1               
ER72237    BC45 AMT OF OT WORKED--JOB 1            
ER72238    BC45 OT TIME UNIT--JOB 1                
ER72239    ACCURACY OF OT--RP JOB 1                
ER72240    BC46 AMOUNT EARNED LAST YEAR--JOB 1     
ER72241    BC46 PER FOR AMT EARNED LAST YR--JOB 1  
ER72242    BC51 WHY LAST JOB END (RP-U)            
ER72243    BC6 BEGINNING MONTH--JOB 2              
ER72244    BC6 BEGINNING YEAR--JOB 2               
ER72245    BC6 ENDING MONTH--JOB 2                 
ER72246    BC6 ENDING YEAR--JOB 2                  
ER72247    BC6 WTR EMPLOYED--JOB 2 JAN             
ER72248    BC6 WTR EMPLOYED--JOB 2 FEB             
ER72249    BC6 WTR EMPLOYED--JOB 2 MAR             
ER72250    BC6 WTR EMPLOYED--JOB 2 APR             
ER72251    BC6 WTR EMPLOYED--JOB 2 MAY             
ER72252    BC6 WTR EMPLOYED--JOB 2 JUN             
ER72253    BC6 WTR EMPLOYED--JOB 2 JUL             
ER72254    BC6 WTR EMPLOYED--JOB 2 AUG             
ER72255    BC6 WTR EMPLOYED--JOB 2 SEP             
ER72256    BC6 WTR EMPLOYED--JOB 2 OCT             
ER72257    BC6 WTR EMPLOYED--JOB 2 NOV             
ER72258    BC6 WTR EMPLOYED--JOB 2 DEC             
ER72259    BC20 MAIN OCC FOR JOB 2: 2010 CODE (RP) 
ER72260    BC21 MAIN IND FOR JOB 2: 2012 CODE (RP) 
ER72261    BC22 WORK SELF/OTR?--JOB 2              
ER72262    BC23 CORP/UNCORP BUS--JOB 2             
ER72263    BC24 WORK FOR GOVT?--JOB 2              
ER72264    BC43 HOURS/WEEK WORKED--JOB 2           
ER72265    ACCURACY OF HR/WK WORKED--RP JOB 2      
ER72266    BC44 WTR WORKED OT--JOB 2               
ER72267    BC45 AMT OF OT WORKED--JOB 2            
ER72268    BC45 OT TIME UNIT--JOB 2                
ER72269    ACCURACY OF OT--RP JOB 2                
ER72270    BC46 AMOUNT EARNED LAST YEAR--JOB 2     
ER72271    BC46 PER FOR AMT EARNED LAST YR--JOB 2  
ER72272    BC51 WHY JOB ENDED--JOB 2               
ER72273    BC6 BEGINNING MONTH--JOB 3              
ER72274    BC6 BEGINNING YEAR--JOB 3               
ER72275    BC6 ENDING MONTH--JOB 3                 
ER72276    BC6 ENDING YEAR--JOB 3                  
ER72277    BC6 WTR EMPLOYED--JOB 3 JAN             
ER72278    BC6 WTR EMPLOYED--JOB 3 FEB             
ER72279    BC6 WTR EMPLOYED--JOB 3 MAR             
ER72280    BC6 WTR EMPLOYED--JOB 3 APR             
ER72281    BC6 WTR EMPLOYED--JOB 3 MAY             
ER72282    BC6 WTR EMPLOYED--JOB 3 JUN             
ER72283    BC6 WTR EMPLOYED--JOB 3 JUL             
ER72284    BC6 WTR EMPLOYED--JOB 3 AUG             
ER72285    BC6 WTR EMPLOYED--JOB 3 SEP             
ER72286    BC6 WTR EMPLOYED--JOB 3 OCT             
ER72287    BC6 WTR EMPLOYED--JOB 3 NOV             
ER72288    BC6 WTR EMPLOYED--JOB 3 DEC             
ER72289    BC20 MAIN OCC FOR JOB 3: 2010 CODE (RP) 
ER72290    BC21 MAIN IND FOR JOB 3: 2012 CODE (RP) 
ER72291    BC22 WORK SELF/OTR?--JOB 3              
ER72292    BC23 CORP/UNCORP BUS--JOB 3             
ER72293    BC24 WORK FOR GOVT?--JOB 3              
ER72294    BC43 HOURS/WEEK WORKED--JOB 3           
ER72295    ACCURACY OF HR/WK WORKED--RP JOB 3      
ER72296    BC44 WTR WORKED OT--JOB 3               
ER72297    BC45 AMT OF OT WORKED--JOB 3            
ER72298    BC45 OT TIME UNIT--JOB 3                
ER72299    ACCURACY OF OT--RP JOB 3                
ER72300    BC46 AMOUNT EARNED LAST YEAR--JOB 3     
ER72301    BC46 PER FOR AMT EARNED LAST YR--JOB 3  
ER72302    BC51 WHY JOB ENDED--JOB 3               
ER72303    BC6 BEGINNING MONTH--JOB 4              
ER72304    BC6 BEGINNING YEAR--JOB 4               
ER72305    BC6 ENDING MONTH--JOB 4                 
ER72306    BC6 ENDING YEAR--JOB 4                  
ER72307    BC6 WTR EMPLOYED--JOB 4 JAN             
ER72308    BC6 WTR EMPLOYED--JOB 4 FEB             
ER72309    BC6 WTR EMPLOYED--JOB 4 MAR             
ER72310    BC6 WTR EMPLOYED--JOB 4 APR             
ER72311    BC6 WTR EMPLOYED--JOB 4 MAY             
ER72312    BC6 WTR EMPLOYED--JOB 4 JUN             
ER72313    BC6 WTR EMPLOYED--JOB 4 JUL             
ER72314    BC6 WTR EMPLOYED--JOB 4 AUG             
ER72315    BC6 WTR EMPLOYED--JOB 4 SEP             
ER72316    BC6 WTR EMPLOYED--JOB 4 OCT             
ER72317    BC6 WTR EMPLOYED--JOB 4 NOV             
ER72318    BC6 WTR EMPLOYED--JOB 4 DEC             
ER72319    BC20 MAIN OCC FOR JOB 4: 2010 CODE (RP) 
ER72320    BC21 MAIN IND FOR JOB 4: 2012 CODE (RP) 
ER72321    BC22 WORK SELF/OTR?--JOB 4              
ER72322    BC23 CORP/UNCORP BUS--JOB 4             
ER72323    BC24 WORK FOR GOVT?--JOB 4              
ER72324    BC43 HOURS/WEEK WORKED--JOB 4           
ER72325    ACCURACY OF HR/WK WORKED--RP JOB 4      
ER72326    BC44 WTR WORKED OT--JOB 4               
ER72327    BC45 AMT OF OT WORKED--JOB 4            
ER72328    BC45 OT TIME UNIT--JOB 4                
ER72329    ACCURACY OF OT--RP JOB 4                
ER72330    BC46 AMOUNT EARNED LAST YEAR--JOB 4     
ER72331    BC46 PER FOR AMT EARNED LAST YR--JOB 4  
ER72332    BC51 WHY JOB ENDED--JOB 4               
ER72333    NUMBER OF ADDITIONAL JOBS--RP           
ER72334    BC10 WTR OTRS ILL (RP)                  
ER72335    BC10 DAYS OTHERS SICK                   
ER72336    ACCURACY OF DAYS OTRS SICK (RP)         
ER72337    BC10 WEEKS OTHERS SICK                  
ER72338    ACCURACY OF WEEKS OTRS SICK (RP)        
ER72339    BC10 MONTHS OTHERS SICK                 
ER72340    ACCURACY OF MONTHS OTRS SICK (RP)       
ER72341    BC11 WTR SELF ILL (RP)                  
ER72342    BC11 DAYS SELF SICK                     
ER72343    ACCURACY OF DAYS SELF ILL (RP)          
ER72344    BC11 WEEKS SELF SICK                    
ER72345    ACCURACY OF WEEKS SELF ILL (RP)         
ER72346    BC11 MONTHS SELF SICK                   
ER72347    ACCURACY OF MONTHS SELF ILL (RP)        
ER72348    BC12 WTR VACATION (RP)                  
ER72349    BC12 DAYS VACATION                      
ER72350    ACCURACY OF DAYS VACATION (RP)          
ER72351    BC12 WEEKS VACATION                     
ER72352    ACCURACY OF WEEKS VACATION (RP)         
ER72353    BC12 MONTHS VACATION                    
ER72354    ACCURACY OF MONTHS VACATION (RP)        
ER72355    BC13 WTR STRIKE (RP)                    
ER72356    BC13 DAYS STRIKE                        
ER72357    ACCURACY OF STRIKE DAYS (RP)            
ER72358    BC13 WEEKS STRIKE                       
ER72359    ACCURACY OF STRIKE WEEKS (RP)           
ER72360    BC13 MONTHS STRIKE                      
ER72361    ACCURACY OF STRIKE MONTHS (RP)          
ER72362    BC14 WTR LAID OFF (RP)                  
ER72363    BC14 DAYS LAID OFF                      
ER72364    ACCURACY OF DAYS LAID OFF (RP)          
ER72365    BC14 WEEKS LAID OFF                     
ER72366    ACCURACY OF WEEKS LAID OFF (RP)         
ER72367    BC14 MONTHS LAID OFF                    
ER72368    ACCURACY OF MONTHS LAID OFF (RP)        
ER72369    BC8 WTR UNEMPLOYED(RP)                  
ER72370    BC8 DAYS UNEMPLOYED                     
ER72371    ACCURACY OF DAYS UNEMPLOYED (RP)        
ER72372    BC8 WEEKS UNEMPLOYED                    
ER72373    ACCURACY OF WEEKS UNEMPLOYED (RP)       
ER72374    BC8 MONTHS UNEMPLOYED                   
ER72375    ACCURACY OF MONTHS UNEMPLOYED (RP)      
ER72376    BC8 WTR UNEMPLOYED JAN                  
ER72377    BC8 WTR UNEMPLOYED FEB                  
ER72378    BC8 WTR UNEMPLOYED MAR                  
ER72379    BC8 WTR UNEMPLOYED APR                  
ER72380    BC8 WTR UNEMPLOYED MAY                  
ER72381    BC8 WTR UNEMPLOYED JUN                  
ER72382    BC8 WTR UNEMPLOYED JUL                  
ER72383    BC8 WTR UNEMPLOYED AUG                  
ER72384    BC8 WTR UNEMPLOYED SEP                  
ER72385    BC8 WTR UNEMPLOYED OCT                  
ER72386    BC8 WTR UNEMPLOYED NOV                  
ER72387    BC8 WTR UNEMPLOYED DEC                  
ER72388    BC7 WTR OUT OF LABOR FORCE (RP)         
ER72389    BC7 DAYS OUT OF LABOR FORCE (RP)        
ER72390    ACCURACY OF DAYS OUT OF LAB FORCE (RP)  
ER72391    BC7 WEEKS OUT OF LABOR FORCE (RP)       
ER72392    ACCURACY OF WKS OUT OF LAB FORCE (RP)   
ER72393    BC7 MONTHS OUT OF LABOR FORCE (RP)      
ER72394    ACCURACY OF MOS OUT OF LAB FORCE (RP)   
ER72395    BC7 WTR OUT LAB FORCE JAN               
ER72396    BC7 WTR OUT LAB FORCE FEB               
ER72397    BC7 WTR OUT LAB FORCE MAR               
ER72398    BC7 WTR OUT LAB FORCE APR               
ER72399    BC7 WTR OUT LAB FORCE MAY               
ER72400    BC7 WTR OUT LAB FORCE JUN               
ER72401    BC7 WTR OUT LAB FORCE JUL               
ER72402    BC7 WTR OUT LAB FORCE AUG               
ER72403    BC7 WTR OUT LAB FORCE SEP               
ER72404    BC7 WTR OUT LAB FORCE OCT               
ER72405    BC7 WTR OUT LAB FORCE NOV               
ER72406    BC7 WTR OUT LAB FORCE DEC               
ER72407    BC60ACKPT WTR CURRENTLY WORKING         
ER72408    BC60A HOURS SPENT WORKING               
ER72409    BC60B HOW OFTEN INTERACTING W/OTHERS    
ER72410    BC60C HOW OFTEN PHYSICAL ACTIVITIES     
ER72411    BC60D HOW OFTEN MENTAL ACTIVITIES       
ER72412    BC60E HOW OFTEN PRESSED FOR TIME        
ER72413    BC62 WTR EVER WORKED                    
ER72414    BC63 MO LAST WORKED                     
ER72415    BC63 YR LAST WORKED                     
ER72416    BC64 WTR LOOKING FOR JOB                
ER72417    BC65 WTR PUBLIC EMP AGENCY (RP)         
ER72418    BC65 WTR PRIVATE EMP AGENCY (RP)        
ER72419    BC65 WTR CHKD W/CURRENT EMP (RP)        
ER72420    BC65 WTR CHKD W/OTHER EMP (RP)          
ER72421    BC65 WTR CHKD W/FRIEND OR REL (RP)      
ER72422    BC65 WTR PLACED OR ANSWERED ADS (RP)    
ER72423    BC65 WTR OTHER ACTIVITY (RP)            
ER72424    BC65 WTR DONE NOTHING (RP)              
ER72425    BC65 WTR CHKD W/SCHOOL EMP CENTER (RP)  
ER72426    BC65 WTR CHKD W/UNION REGISTERS (RP)    
ER72427    BC65 WTR SENT OUT RESUMES (RP)          
ER72428    BC65 WTR ATTENDED JOB TRAINING (RP)     
ER72429    BC65 WTR WENT ON JOB IWS (RP)           
ER72430    BC65 WTR LOOKD AT ADS W/O APPLYG (RP)   
ER72431    BC65 WTR USED SOCIAL MEDIA (RP)         
ER72432    BC65ACKPT METHODS USED TO SEARCH        
ER72433    BC65A WTR USED INTERNET FOR SEARCHING   
ER72434    BC65B WTR REQUIRED TO USE INTERNET      
ER72435    BC67 YRS LOOK WRK (RP-U)                
ER72436    BC67 MOS LOOK WRK (RP-U)                
ER72437    BC67 WKS LOOK WRK (RP-U)                
ER72438    BC68 CKPT: WTR NOT WRKING/NOT LOOKING   
ER72439    BC68 MAIN REASON NOT LOOKING            
ER72440    DE1 CKPT: WTR SPOUSE IN FU              
ER72441    DE1 EMPLOYMENT STATUS-1ST MENTION       
ER72442    DE1 EMPLOYMENT STATUS-2ND MENTION       
ER72443    DE1 EMPLOYMENT STATUS-3RD MENTION       
ER72444    DE2 YEAR RETIRED (SP-R)                 
ER72445    DE3 WTR WORK FOR MONEY                  
ER72446    DE3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR
ER72447    DE14A_B WEEKS EMPLOYED LAST YEAR        
ER72448    ACCURACY OF SPOUSE WKS EMPLOYED LAST YR 
ER72449    DE14BB AVERAGE HOURS WORKED LAST YEAR   
ER72450    ACCURACY OF SPOUSE HOURS WORKED LAST YR 
ER72451    DE14B3 WTR ADDITIONAL OT HOURS LAST YEAR
ER72452    DE14B4 AVERAGE OVERTIME HOURS LAST YEAR 
ER72453    DE14B4 AVERAGE OVERTIME HOURS PER WHAT  
ER72454    ACCURACY OF SPOUSE OT HOURS WRKD LAST YR
ER72455    DE16-17 MAIN JOB INDICATOR              
ER72456    DE6 BEGINNING MONTH--JOB 1              
ER72457    DE6 BEGINNING YEAR--JOB 1               
ER72458    DE6 ENDING MONTH--JOB 1                 
ER72459    DE6 ENDING YEAR--JOB 1                  
ER72460    DE6 WTR EMPLOYED--JOB 1 JAN             
ER72461    DE6 WTR EMPLOYED--JOB 1 FEB             
ER72462    DE6 WTR EMPLOYED--JOB 1 MAR             
ER72463    DE6 WTR EMPLOYED--JOB 1 APR             
ER72464    DE6 WTR EMPLOYED--JOB 1 MAY             
ER72465    DE6 WTR EMPLOYED--JOB 1 JUN             
ER72466    DE6 WTR EMPLOYED--JOB 1 JUL             
ER72467    DE6 WTR EMPLOYED--JOB 1 AUG             
ER72468    DE6 WTR EMPLOYED--JOB 1 SEP             
ER72469    DE6 WTR EMPLOYED--JOB 1 OCT             
ER72470    DE6 WTR EMPLOYED--JOB 1 NOV             
ER72471    DE6 WTR EMPLOYED--JOB 1 DEC             
ER72472    DE20 MAIN OCC FOR JOB 1: 2010 CODE (SP) 
ER72473    DE21 MAIN IND FOR JOB 1: 2012 CODE (SP) 
ER72474    DE21B AVERAGE COMMUTE TIME (SP)         
ER72475    DE22 WORK SELF/OTR?--JOB 1              
ER72476    DE23 CORP/UNCORP BUS--JOB 1             
ER72477    DE24 WORK FOR GOVT?--JOB 1              
ER72478    DE25A NUMBER EMPLOYED AT WORK LOCATION  
ER72479    DE25B WTR 200 OR MORE                   
ER72480    DE25C WTR 100 OR MORE                   
ER72481    DE25D WTR 50 OR MORE                    
ER72482    DE25E WTR 500 OR MORE                   
ER72483    DE25F WTR 1000 OR MORE                  
ER72484    DE26 JOB NOW UNION? (SP-E)              
ER72485    DE27 BELONG UNION? (SP-E)               
ER72486    DE28A WTR JOB REQUIRES COMPUTER USE     
ER72487    DE29 SLRY/HRLY/OTR (SP-E)               
ER72488    DE30 SALARY AMOUNT                      
ER72489    DE30 SALARY PER WHAT                    
ER72490    DE31 WTR SAL PD OT (SP-E)               
ER72491    DE32 HOW PAID FOR OT                    
ER72492    DE32A EXACT OT PAY IF SALARIED          
ER72493    DE32A EXACT OT PAY PER                  
ER72494    DE33 HOURLY REGULAR RATE                
