****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350694 ******* 

Variable    Labels

ER72001    RELEASE NUMBER                          
ER72002    2019 FAMILY INTERVIEW (ID) NUMBER       
ER72003    PSID STATE OF RESIDENCE CODE            
ER72004    CURRENT STATE                           
ER72005    SPLITOFF INDICATOR                      
ER72006    MODE OF INTERVIEW                       
ER72007    FAMILY COMPOSITION CHANGE               
ER72008    TYPE INSTITUTION                        
ER72009    1968 FAMILY IDENTIFIER                  
ER72010    WTR REINSTATED DROPPED FAMILY           
ER72011    INTERVIEWER ID                          
ER72012    MONTH CURRENT IW                        
ER72013    DAY CURRENT IW                          
ER72014    YEAR CURRENT IW                         
ER72015    LENGTH OF IW IN MINUTES                 
ER72016    # IN FU                                 
ER72017    AGE OF REFERENCE PERSON                 
ER72018    SEX OF REFERENCE PERSON                 
ER72019    AGE OF SPOUSE                           
ER72020    SEX OF SPOUSE                           
ER72021    # CHILDREN IN FU                        
ER72022    AGE YOUNGEST CHILD                      
ER72023    # NONFU SHARING HU                      
ER72024    REFERENCE PERSON MARITAL STATUS         
ER72025    A3 LIFE SATISFACTION                    
ER72026    A4 TYPE DU                              
ER72027    A6A WTR SENIOR HOUSING                  
ER72028    A7A WTR SENIOR SERVICES                 
ER72029    A8 ACTUAL # ROOMS                       
ER72030    A19 OWN/RENT OR WHAT                    
ER72031    A20 HOUSE VALUE                         
ER72032    ACCURACY OF HOUSE VALUE                 
ER72033    A20A WTR HOUSE WORTH 100,000+           
ER72034    A20B WTR HOUSE WORTH 200,000+           
ER72035    A20C WTR HOUSE WORTH 400,000+           
ER72036    A20D WTR HOUSE WORTH 75,000+            
ER72037    A20E WTR HOUSE WORTH 25,000+            
ER72038    A20A1 RENTAL VALUE AMOUNT               
ER72039    A20A1 RENTAL VALUE PER                  
ER72040    A20F WTR RENTS LOT                      
ER72041    A20G DOLLARS LOT RENT                   
ER72042    A20G DOLLARS PER WHAT                   
ER72043    ACCURACY OF LOT RENT                    
ER72044    A20H WTR LOT RENT INCUDES WATER/SEWER   
ER72045    A21 ANNUAL PROPERTY TAX                 
ER72046    ACCURACY OF ANNUAL PROPERTY TAX         
ER72047    A22 ANNUAL OWNR INSURANC                
ER72048    A23 HAVE MORTGAGE?                      
ER72049    A23A TYPE MORTGAGE MOR 1                
ER72050    A23B WTR ORIGINAL LOAN/REFINANCED #1    
ER72051    A24 REM PRINCIPAL MOR 1                 
ER72052    ACCURACY OF REMAINING MORTGAGE PRIN #1  
ER72053    A25 MNTHLY PMTS MOR 1                   
ER72054    ACCURACY OF MONTHLY PYMNTS ON MTGE #1   
ER72055    A25A1 MTG INCL PROP TAXES #1            
ER72056    A25A2 MTG INCL INS PREM #1              
ER72057    A25A3 WTR CURR INT RATE FIXED/VARBLE #1 
